id,NO,SAMPLE_ID,code,DB,Foodname1, One_timesupply,energy,Protein,Fat,Carbohydrate,Totalsugars,Foodname2
29,30,D000046-ZZ-AVG,D000046,?뚯떇,堉덈떎洹?댁옣援?1000.0,714,75,36,23,6,0,Bone hangover soup
30,31,D000047-ZZ-AVG,D000047,?뚯떇,?좎??댁옣援?1000.0,312,49,5,17,4,0,ox blood hangover soup
31,32,D000049-ZZ-AVG,D000049,?뚯떇,?뚭퀬湲곕Т援?400.0,123,14,4,8,4,0,Beef Radish Soup
32,33,D000050-ZZ-AVG,D000050,?뚯떇,?뚭퀬湲곕???뎅,650,151,18,5,8,0,Beef seaweed soup
33,34,D000052-ZZ-AVG,D000052,?뚯떇,?쒕?援?800.0,540,44,33,17,0,0,Sundae soup
34,35,D000054-ZZ-AVG,D000054,?뚯떇,?쒕옒湲곕맂?κ뎅,450,99,7,3,11,1,Dried soybean paste soup
35,36,D000060-101-AVG,D000060,?뚯떇,?ш갚?닿뎅,600,144,14,4,13,2,Tadpole soup
36,37,D000062-ZZ-AVG,D000062,?뚯떇,?곌굅吏?댁옣援?600.0,154,12,6,14,3,0,Wogeo hangover soup
37,38,D000063-ZZ-AVG,D000063,?뚯떇,?곕쟻?쒖옣援?500.0,245,25,8,19,4,0,Soybean paste soup with snails
38,39,D000064-ZZ-AVG,D000064,?뚯떇,?뺢뎅,250,92,13,4,0,0,soup soup
39,40,D000066-ZZ-AVG,D000066,?뚯떇,?랁빀誘몄뿭援?650.0,167,20,5,12,0,0,Mussel seaweed soup
40,41,D000067-ZZ-AVG,D000067,?뚯떇,?⑺깭?댁옣援?600.0,182,25,7,6,2,0,Dried Pollack Hangover Soup
41,42,D000068-ZZ-AVG,D000068,?뚯떇,怨좎텛?≪콈,200,257,11,12,26,2,Red pepper japchae
42,43,D000070-ZZ-AVG,D000070,?뚯떇,?쒖옄?꾩뒪,200,346,22,20,19,0,Ovranjawans
43,44,D000071-26-AVG,D000071,?뚯떇,?꾪넗由щУ留먯씠,1300,462,7,9,90,6,Acorn mukmal
44,45,D000072-ZZ-AVG,D000072,?뚯떇,?쇱“湲?200.0,399,21,23,26,0,0,Lazogi
45,46,D000074-72-AVG,D000074,?뚯떇,臾쇳쉶,700,529,34,19,55,20,Cold Raw Fish Soup
46,47,D000075-ZZ-AVG,D000075,?뚯떇,?앹꽑臾쇳쉶,800,578,34,12,83,52,Raw fish soup
47,48,D000076-ZZ-AVG,D000076,?뚯떇,?뚭퀬湲곗깶釉뚯깶釉?600.0,264,29,10,15,2,0,Beef shabu shabu
48,49,D000079-39-AVG,D000079,?뚯떇,?ㅼ쭠?댁닚?,350,467,46,6,58,0,Squid sundae
49,50,D000081-01-AVG,D000081,?뚯떇,珥덈떦?쒕몢遺,900,523,49,29,16,1,Soft tofu per second
50,51,D000085-ZZ-AVG,D000085,?뚯떇,?댄뙆由щ깋梨?150.0,91,6,1,13,11,0,Chilled jellyfish salad
51,52,D000087-ZZ-AVG,D000087,?뚯떇,怨좊뱾鍮쇨린,50,56,2,1,11,3,No Goblet
52,53,D000097-ZZ-AVG,D000097,?뚯떇,?대Т?쇨컝?닿?移?50.0,18,1,0,3,0,0,young radish kimchi
53,54,D000105-ZZ-AVG,D000105,?뚯떇,誘몃굹由щ굹臾?50.0,30,1,2,2,0,0,Water parsley
54,55,D000109-ZZ-AVG,D000109,?뚯떇,痍⑤굹臾?50.0,74,1,6,3,0,0,Chwinamul
55,56,D000110-ZZ-AVG,D000110,?뚯떇,肄⑸굹臾?50.0,25,2,2,1,0,0,Bean sprouts
56,57,D000112-ZZ-AVG,D000112,?뚯떇,寃쎈떒(源?,100,319,4,1,74,27,Hardwood (Sesames)
57,58,D000113-ZZ-AVG,D000113,?뚯떇,寃쎈떒(肄?,100,314,4,0,74,21,Hardwood (Beans)
58,59,D000114-ZZ-AVG,D000114,?뚯떇,湲고뵾??100.0,220,5,0,49,2,0,Avoiding episode
59,60,D000116-ZZ-AVG,D000116,?뚯떇,?밸몢?쒕（??100.0,246,8,3,48,4,0,mung bean sirutteok
60,61,D000117-ZZ-AVG,D000117,?뚯떇,硫붾??꾨퀝,100,168,6,6,22,1,Buckwheat Crepe
61,62,D000119-ZZ-AVG,D000119,?뚯떇,臾댁?媛쒕뼞,100,229,4,0,53,9,Rainbow rice cake
62,63,D000121-ZZ-AVG,D000121,?뚯떇,?≫렪(源?,100,224,5,3,45,1,Songpyeon (Sesames)
63,64,D000122-ZZ-AVG,D000122,?뚯떇,?≫렪(肄?,100,194,5,1,42,1,Songpyeon (Beans)
64,65,D000123-ZZ-AVG,D000123,?뚯떇,?섏닔遺袁몃?,100,248,6,6,42,0,sorghum buggumi
65,66,D000124-ZZ-AVG,D000124,?뚯떇,?섏닔?λ뼞,100,204,7,1,43,3,sorghum red bean rice cake
66,67,D000125-ZZ-AVG,D000125,?뚯떇,?쒕（??100.0,217,5,1,48,3,0,Sirutteok
67,68,D000126-ZZ-AVG,D000126,?뚯떇,?λ뼞,100,249,3,0,58,11,mugwort rice cake
68,69,D000129-ZZ-AVG,D000129,?뚯떇,?덊렪,100,193,4,0,44,0,Pickle
69,70,D000131-ZZ-AVG,D000131,?뚯떇,李뱀???100.0,277,3,0,66,18,0,Rice pancake
70,71,D000136-ZZ-AVG,D000136,?뚯떇,媛꾩옄??650.0,825,22,22,134,12,0,Ganjajang
71,72,D000137-ZZ-AVG,D000137,?뚯떇,援댁㎚戮?900.0,681,33,10,116,2,0,Oyster jjamppong
72,73,D000138-ZZ-AVG,D000138,?뚯떇,湲곗뒪硫?1000.0,607,38,11,90,1,0,gis cotton
73,74,D000139-ZZ-AVG,D000139,?뚯떇,源移섎씪硫?650.0,552,14,17,86,1,0,Kimchi ramen
74,75,D000140-ZZ-AVG,D000140,?뚯떇,源移섏슦??800.0,500,16,5,99,2,0,Kimchi udon
75,76,D000141-ZZ-AVG,D000141,?뚯떇,?됯?移섎쭚?닿뎅??600.0,303,13,5,52,8,0,Cold Kimchi Rolled Noodle
76,77,D000142-ZZ-AVG,D000142,?뚯떇,??뭡援?닔,900,663,42,13,95,5,Chicken kalguksu
77,78,D000143-ZZ-AVG,D000143,?뚯떇,?섍묠移쇨뎅??600.0,458,18,17,60,1,0,Dulgekalguksu
78,79,D000147-102-AVG,D000147,?뚯떇,留됯뎅??1000.0,572,20,6,110,9,0,Mak noodle
79,80,D000152-ZZ-AVG,D000152,?뚯떇,?쇱꽑?곕룞,1000,692,48,8,106,1,Three-line udon
80,81,D000153-ZZ-AVG,D000153,?뚯떇,?쇱꽑?먯옣硫?700.0,804,34,18,127,10,0,a three-line jajangmyeon
81,82,D000154-ZZ-AVG,D000154,?뚯떇,?쇱꽑吏щ퐬,900,662,40,11,102,1,Spicy Seafood Noodles with Pork Sliced Spicy Seafood Noodles
82,83,D000156-ZZ-AVG,D000156,?뚯떇,?援?닔,600,320,16,4,55,4,Rice noodle
83,84,D000157-ZZ-AVG,D000157,?뚯떇,?대Т源移섍뎅??800.0,431,15,10,70,19,0,Yeolmu Kimchi Noodles
84,85,D000158-ZZ-AVG,D000158,?뚯떇,?대Т?됰㈃,800,525,21,6,98,27,Cold noodles with young radish
85,86,D000159-ZZ-AVG,D000159,?뚯떇,?ㅼ씪?뚯뒪?ㅽ뙆寃뚰떚,400,647,20,23,89,1,Oil Sauce Spaghetti
86,87,D000160-103-AVG,D000160,?뚯떇,?ш갚?닿뎅??1500.0,566,11,8,112,19,0,tadpole noodles
87,88,D000161-ZZ-AVG,D000161,?뚯떇,?곕룞(?쇱떇),700,422,13,8,74,2,Udon (Japanese)
88,89,D000162-ZZ-AVG,D000162,?뚯떇,?곕룞(以묒떇),1000,648,29,21,85,1,Udon (Chinese)
89,90,D000163-ZZ-AVG,D000163,?뚯떇,?몃㈃,1000,729,37,7,128,1,Crying noodles
90,91,D000164-ZZ-AVG,D000164,?뚯떇,?먯옣硫?650.0,797,20,20,134,8,0,Jajangmyeon
91,92,D000167-ZZ-AVG,D000167,?뚯떇,吏щ퐬?쇰㈃,750,689,21,26,92,2,Spicy Seafood Noodles
92,93,D000169-ZZ-AVG,D000169,?뚯떇,移섏쫰?쇰㈃,600,595,17,23,80,1,Cheese ramen
93,94,D000171-ZZ-AVG,D000171,?뚯떇,?щ┝?뚯뒪?ㅽ뙆寃뚰떚,400,838,22,51,74,9,Cream sauce spaghetti
94,95,D000172-ZZ-AVG,D000172,?뚯떇,?좊쭏?좎냼?ㅼ뒪?뚭쾶??500.0,643,24,19,93,16,0,Tomato sauce spaghetti
95,96,D000173-ZZ-AVG,D000173,?뚯떇,?대Ъ移쇨뎅??900.0,628,23,5,124,4,0,Seafood kalguksu
96,97,D000174-ZZ-AVG,D000174,?뚯떇,?대Ъ?щ┝?뚯뒪?ㅽ뙆寃뚰떚,500,918,30,50,87,8,Seafood Cream Sauce Spaghetti
97,98,D000175-ZZ-AVG,D000175,?뚯떇,?대Ъ?좊쭏?좎냼?ㅼ뒪?뚭쾶??500.0,584,28,14,87,13,0,Seafood tomato sauce spaghetti
98,99,D000178-ZZ-AVG,D000178,?뚯떇,怨⑤콉?대Т移?100.0,109,7,2,16,10,0,Seasoned whelk
99,100,D000180-ZZ-AVG,D000180,?뚯떇,?멸컖臾댁묠,150,84,3,2,14,7,Seasoned Dried Pollack
100,101,D000181-ZZ-AVG,D000181,?뚯떇,?⑤Т吏臾댁묠,50,20,1,1,3,1,Seasoned pickled radish
101,102,D000182-ZZ-AVG,D000182,?뚯떇,?щ옒?섎Ъ臾댁묠,150,136,4,3,24,11,Salted wild chive vegetables
102,103,D000183-ZZ-AVG,D000183,?뚯떇,?붾뜒臾댁묠,150,216,4,3,43,20,seasoned deodeok
103,104,D000185-ZZ-AVG,D000185,?뚯떇,?꾪넗由щУ,100,46,0,0,10,0,Acorn jello
104,105,D000190-55-AVG,D000190,?뚯떇,諛대뙐?대Т移?400.0,600,30,33,46,27,0,Seasoned Banding
105,106,D000194-45-AVG,D000194,?뚯떇,?쒕??뚮Т移?300.0,315,23,5,46,22,0,Seasoned raw fish with vinegar
106,107,D000195-ZZ-AVG,D000195,?뚯떇,?κ컭?섎Ъ臾댁묠,150,96,5,6,7,0,Seasoned crown daisies with vegetables
107,108,D000198-ZZ-AVG,D000198,?뚯떇,?곌굅吏?섎Ъ臾댁묠,150,129,5,9,9,2,Seasoned vegetables with vegetables
108,109,D000200-ZZ-AVG,D000200,?뚯떇,伊먯튂梨?20.0,56,3,0,11,5,0,Dried filefish and vegetables
109,110,D000201-ZZ-AVG,D000201,?뚯떇,泥?룷臾듬Т移?250.0,149,3,5,23,2,0,green foam mukchim
110,111,D000202-ZZ-AVG,D000202,?뚯떇,?뺥룊梨?100.0,97,4,4,12,0,0,Tangpyeongchae
111,112,D000205-ZZ-AVG,D000205,?뚯떇,?띿뼱臾댁묠,200,199,18,3,26,14,seasoned skate
112,113,D000206-ZZ-AVG,D000206,?뚯떇,怨좎텛?λ텋怨좉린 ?쇨컖源諛?100.0,165,4,2,34,0,0,Red pepper paste bulgogi triangular kimbap
113,114,D000207-103-AVG,D000207,?뚯떇,怨ㅻ뱶?덈굹臾쇰갈,350,522,10,10,99,0,Seasoned Thistle with Rice
114,115,D000208-104-AVG,D000208,?뚯떇,援?갈,800,418,28,8,59,0,Rice soup
115,116,D000212-ZZ-AVG,D000212,?뚯떇,?띿뼱珥덈갈,250,397,17,1,79,13,Sushi with rice balls and fish
116,117,D000213-105-AVG,D000213,?뚯떇,?쇱?援?갈,1200,911,66,39,75,0,Pork and Rice Soup
117,118,D000214-ZZ-AVG,D000214,?뚯떇,瑜섏궛?щ뜮諛?550.0,575,27,19,74,0,0,Rice with Ryusanseul
118,119,D000215-02-AVG,D000215,?뚯떇,硫띻쾶鍮꾨퉼諛?400.0,547,17,13,91,17,0,sea squirt bibimbap
119,120,D000216-ZZ-AVG,D000216,?뚯떇,硫몄튂二쇰㉨諛?150.0,312,9,7,54,1,0,anchovy rice balls
120,121,D000217-106-AVG,D000217,?뚯떇,臾듬갈,950,642,15,8,129,15,Mukbap
121,122,D000218-ZZ-AVG,D000218,?뚯떇,臾몄뼱珥덈갈,250,392,15,1,82,13,Octopus sushi
122,123,D000222-107-AVG,D000222,?뚯떇,鍮꾨퉼諛?450.0,692,25,22,99,18,0,bibimbap
123,124,D000223-ZZ-AVG,D000223,?뚯떇,?쇱꽑蹂띠쓬諛?400.0,686,26,26,86,2,0,Three-line fried rice
124,125,D000225-ZZ-AVG,D000225,?뚯떇,?덉슦珥덈갈,250,388,17,1,78,12,Shrimp sushi
125,126,D000226-ZZ-AVG,D000226,?뚯떇,?덉슦?源濡?300.0,607,14,18,96,11,0,Fried shrimp roll
126,127,D000227-ZZ-AVG,D000227,?뚯떇,?먮윭?쒓?諛?250.0,406,10,14,61,3,0,Salad kimbap
127,128,D000228-ZZ-AVG,D000228,?뚯떇,?앹꽑珥덈갈(愿묒뼱),300,454,27,4,78,8,Fish sushi (flatfish)
128,129,D000229-ZZ-AVG,D000229,?뚯떇,?앹꽑珥덈갈(紐⑤벉),300,462,25,6,76,9,Fish sushi (collection)
129,130,D000230-ZZ-AVG,D000230,?뚯떇,?뚭퀬湲곌뎅諛?700.0,331,22,8,43,3,0,Beef rice soup
130,131,D000231-ZZ-AVG,D000231,?뚯떇,?뚭퀬湲곌?諛?250.0,401,16,10,63,1,0,Beef kimbap
131,132,D000232-ZZ-AVG,D000232,?뚯떇,?≪씠??갈,600,582,18,14,96,2,Rice topped with pine mushrooms
132,133,D000233-ZZ-AVG,D000233,?뚯떇,??텋媛덈퉬 ?쇨컖源諛?100.0,161,4,2,33,0,0,Charcoal-grilled ribs triangular kimbap
133,134,D000235-117-AVG,D000235,?뚯떇,?쎌큹鍮꾨퉼諛?400.0,512,12,16,80,3,0,herbal bibimbap
134,135,D000236-ZZ-AVG,D000236,?뚯떇,?곗뼱濡?300.0,510,19,15,74,8,0,Salmon roll
135,136,D000237-ZZ-AVG,D000237,?뚯떇,?곗뼱珥덈갈,250,447,19,10,71,13,Salmon sushi
136,137,D000238-ZZ-AVG,D000238,?뚯떇,?ㅺ끝諛?250.0,389,12,1,82,0,0,Ogokbap
137,138,D000243-ZZ-AVG,D000243,?뚯떇,?먯옣諛?500.0,742,15,22,120,5,0,Black Bean Rice
138,139,D000245-ZZ-AVG,D000245,?뚯떇,?≫깢諛?750.0,777,44,20,105,0,0,mixed rice
139,140,D000246-ZZ-AVG,D000246,?뚯떇,?μ뼱??갈,400,717,30,23,97,6,Rice with Grilled Eel
140,141,D000247-ZZ-AVG,D000247,?뚯떇,?μ뼱珥덈갈,250,486,17,11,81,14,Eel sushi
141,142,D000251-ZZ-AVG,D000251,?뚯떇,李몄튂??갈,500,679,29,17,103,3,Rice topped with tuna
142,143,D000252-ZZ-AVG,D000252,?뚯떇,李몄튂留덉슂?ㅼ쫰 ?쇨컖源諛?100.0,172,4,3,32,0,0,Tuna mayonnaise triangular kimbap
143,144,D000253-ZZ-AVG,D000253,?뚯떇,異⑸Т源諛?400.0,584,23,6,109,17,0,Chungmu Kimbap
144,145,D000256-ZZ-AVG,D000256,?뚯떇,罹섎━?щ땲?꾨·,300,488,12,9,89,9,California Roll
145,146,D000258-ZZ-AVG,D000258,?뚯떇,?쒖튂珥덈갈,250,374,14,1,78,13,Cuttlefish sushi
146,147,D000259-ZZ-AVG,D000259,?뚯떇,?대Ъ??갈,700,772,42,22,100,1,Rice topped with seafood
147,148,D000260-ZZ-AVG,D000260,?뚯떇,?대Ъ蹂띠쓬諛?400.0,705,25,27,90,1,0,Seafood fried rice
148,149,D000261-ZZ-AVG,D000261,?뚯떇,?뚮뜮諛?500.0,683,30,17,103,11,0,raw fish topped rice
149,150,D000265-ZZ-AVG,D000265,?뚯떇,源살옂?섎Ъ蹂띠쓬,200,206,8,14,12,1,Stir-fried perilla leaves and vegetables
150,151,D000268-ZZ-AVG,D000268,?뚯떇,?쇱?怨좉린蹂띠쓬,200,351,23,21,18,8,Stir-fried pork
151,152,D000269-ZZ-AVG,D000269,?뚯떇,?쇱?猿띾뜲湲곕낭??150.0,352,26,17,25,6,0,Stir-fried pork skin
152,153,D000270-ZZ-AVG,D000270,?뚯떇,?먮?源移?250.0,288,19,17,14,1,0,tofu kimchi
153,154,D000273-ZZ-AVG,D000273,?뚯떇,癒몄쐞?섎Ъ蹂띠쓬,150,108,4,7,8,2,Stir-fried Mudwish
154,155,D000274-ZZ-AVG,D000274,?뚯떇,硫몄튂?뗪퀬異붾낭??20.0,52,5,2,3,1,0,Stir-fried anchovy and green pepper
155,156,D000276-ZZ-AVG,D000276,?뚯떇,?뚯꽭吏蹂띠쓬,200,471,19,30,32,9,Stir-fried sausage
156,157,D000277-ZZ-AVG,D000277,?뚯떇,?쒕?蹂띠쓬,400,582,21,21,77,5,Stir-fried Soondae
157,158,D000278-ZZ-AVG,D000278,?뚯떇,?묒넚?대쾭??낭??150.0,136,5,8,11,1,0,Stir-fried mushroom
158,159,D000281-ZZ-AVG,D000281,?뚯떇,?ㅼ궪遺덇퀬湲?200.0,363,26,20,21,8,0,Squid and Pork Belly Bulgogi
159,160,D000285-ZZ-AVG,D000285,?뚯떇,二쇨씀誘몃낭??200.0,211,18,5,23,5,0,Stir-fried webfoot octopus
160,161,D000286-ZZ-AVG,D000286,?뚯떇,?쒓퀬踰꾩꽢蹂띠쓬,150,142,5,7,16,3,Stir-fried shiitake mushrooms
161,162,D000287-ZZ-AVG,D000287,?뚯떇,?대Ъ蹂띠쓬,400,419,38,15,32,7,Stir-fried seafood
162,163,D000288-ZZ-AVG,D000288,?뚯떇,怨곕낫鍮?70.0,277,6,9,42,12,0,Gombo bread
163,164,D000291-ZZ-AVG,D000291,?뚯떇,留뚯＜,70,222,5,2,47,22,Manchuria
164,165,D000294-ZZ-AVG,D000294,?뚯떇,踰꾪꽣?щ┝鍮?60.0,230,5,11,28,7,0,Butter cream bread
165,166,D000297-ZZ-AVG,D000297,?뚯떇,遺덇퀬湲고뵾??200.0,505,27,17,61,9,0,Bulgogi pizza
166,167,D000299-ZZ-AVG,D000299,?뚯떇,李몄튂?뚮뱶?꾩튂,250,555,23,35,37,10,Tuna Sandwich
167,168,D000300-ZZ-AVG,D000300,?뚯떇,李뱀??꾩슦??70.0,207,4,4,40,12,0,Sticky rice doughnut
168,169,D000301-ZZ-AVG,D000301,?뚯떇,梨꾩냼怨좊줈耳,100,301,7,16,31,3,Vegetable croquette
169,170,D000302-ZZ-AVG,D000302,?뚯떇,珥덉퐳由우??댄겕,100,420,5,25,44,23,Chocolate cake
170,171,D000303-ZZ-AVG,D000303,?뚯떇,移섏쫰耳?댄겕,100,329,7,21,29,15,Cheesecake
171,172,D000304-ZZ-AVG,D000304,?뚯떇,移섏쫰?쇱옄,200,553,31,16,71,7,Cheese pizza
172,173,D000308-ZZ-AVG,D000308,?뚯떇,?섏씠?ㅽ듃由щ뭇,70,320,6,18,33,6,Pastry bread
173,174,D000309-ZZ-AVG,D000309,?뚯떇,?섑띁濡쒕땲?쇱옄,200,532,29,15,70,8,Pepperoni pizza
174,175,D000310-ZZ-AVG,D000310,?뚯떇,?ы뀒?댄넗?쇱옄,250,628,28,26,72,9,Potato pizza
175,176,D000313-ZZ-AVG,D000313,?뚯떇,?섏젙怨?150.0,133,1,5,20,21,0,Sujeonggwa
176,177,D000314-ZZ-AVG,D000314,?뚯떇,?앺삙,150,130,2,3,24,17,Sikhye
177,178,D000316-ZZ-AVG,D000316,?뚯떇,媛꾩옣留덈뒛已묒옣?꾩컡,50,30,1,1,5,4,Pickled soy sauce garlic jjong
178,179,D000317-ZZ-AVG,D000317,?뚯떇,怨좎텛?λ쭏?섏쳭?μ븘李?50.0,55,1,1,11,6,0,Pickled red pepper paste garlic jjong
179,180,D000321-ZZ-AVG,D000321,?뚯떇,留ㅼ떎?μ븘李?30.0,73,0,0,17,11,0,Pickled plums
180,181,D000322-ZZ-AVG,D000322,?뚯떇,臾댁옣?꾩컡,30,24,0,0,5,3,Pickled radish
181,182,D000326-ZZ-AVG,D000326,?뚯떇,怨꾩쟻,250,488,58,30,0,0,a metamus
182,183,D000327-ZZ-AVG,D000327,?뚯떇,?숈?瑗ъ?,80,75,13,1,3,0,Octopus skewer
183,184,D000328-ZZ-AVG,D000328,?뚯떇,?붾쿋湲곗쟻,100,159,30,7,0,0,Dombegijeok
184,185,D000329-ZZ-AVG,D000329,?뚯떇,?뚭퀬湲곗궛??200.0,453,48,26,7,0,0,Beef sanjeok
185,186,D000330-ZZ-AVG,D000330,?뚯떇,?뚮씪?곗쟻,80,120,18,3,6,1,Sora sanjeok
186,187,D000331-ZZ-AVG,D000331,?뚯떇,?ㅼ쭠?댁궛??80.0,102,17,2,4,1,0,Squid sanjeok
187,188,D000332-ZZ-AVG,D000332,?뚯떇,?띿뼱??100.0,89,24,1,0,0,0,skate-like
188,189,D000333-ZZ-AVG,D000333,?뚯떇,?랁빀?곗쟻,80,157,18,5,11,3,mussel acid
189,190,D000334-ZZ-AVG,D000334,?뚯떇,媛?먮???150.0,230,26,11,7,0,0,Gajamijeon
190,191,D000336-ZZ-AVG,D000336,?뚯떇,怨좎텛??150.0,275,13,17,17,2,0,red pepper pancake
191,192,D000337-ZZ-AVG,D000337,?뚯떇,援댁쟾,100,195,11,11,15,1,Oyster pancake
192,193,D000339-ZZ-AVG,D000339,?뚯떇,源살옂??150.0,361,18,26,15,1,0,perilla leaf pancake
193,194,D000340-ZZ-AVG,D000340,?뚯떇,?밸몢鍮덈???100.0,208,8,10,21,0,0,mung bean pancake
194,195,D000342-ZZ-AVG,D000342,?뚯떇,?숆렇?묐븸(?≪썝??,150,309,20,20,13,1,Meatballs (Yukwonjeon)
195,196,D000343-ZZ-AVG,D000343,?뚯떇,?숉깭??150.0,268,23,15,11,0,0,Dongtaejeon
196,197,D000345-ZZ-AVG,D000345,?뚯떇,?먮???150.0,255,20,16,7,0,0,tofu pancake
197,198,D000346-ZZ-AVG,D000346,?뚯떇,誘몃굹由ъ쟾,150,226,5,8,34,2,Minarijeon
198,199,D000347-ZZ-AVG,D000347,?뚯떇,諛곗텛??150.0,241,5,9,36,5,0,Cabbage pancake
199,200,D000348-ZZ-AVG,D000348,?뚯떇,踰꾩꽢??150.0,241,11,15,16,3,0,Mushroom pancake
200,201,D000350-ZZ-AVG,D000350,?뚯떇,?쇱콈??100.0,194,5,10,22,2,0,vegetable pancake
201,202,D000351-ZZ-AVG,D000351,?뚯떇,?뚯쟾,150,293,7,14,35,1,Pajeon
202,203,D000353-ZZ-AVG,D000353,?뚯떇,?꾨?移?100.0,244,11,17,11,1,0,Ham pancake
203,204,D000354-ZZ-AVG,D000354,?뚯떇,?몃컯遺移④컻,100,129,4,8,10,4,Pumpkin pancake
204,205,D000355-ZZ-AVG,D000355,?뚯떇,?몃컯??150.0,208,6,13,16,3,0,Pumpkin pancake
205,206,D000356-ZZ-AVG,D000356,?뚯떇,?붿뼇??150.0,273,14,15,21,1,0,harmonious
206,207,D000357-ZZ-AVG,D000357,?뚯떇,媛?먮?議곕┝,300,298,37,7,22,11,Braised halibut
207,208,D000360-ZZ-AVG,D000360,?뚯떇,怨좎텛議곕┝,100,111,3,5,13,7,Braised red pepper
208,209,D000362-ZZ-AVG,D000362,?뚯떇,?숉깭議곕┝,250,276,41,5,17,10,Braised frozen pollack
209,210,D000363-ZZ-AVG,D000363,?뚯떇,?쇱?怨좉린硫붿텛由ъ븣?μ“由?50.0,63,8,2,3,1,0,Braised pork quail eggs
210,211,D000366-ZZ-AVG,D000366,?뚯떇,遺곸뼱議곕┝,100,182,21,3,17,8,Braised dried pollack
211,212,D000367-ZZ-AVG,D000367,?뚯떇,?뚭퀬湲곕찓異붾━?뚯옣議곕┝,50,61,8,2,3,1,Braised Beef Quail Egg
212,213,D000370-ZZ-AVG,D000370,?뚯떇,議곌린議곕┝,300,384,41,19,13,5,Boiled corvina
